session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
619f80a37601fd960b35dd1a,5e2d96d3bc554937d1b3917a,AWAITING REVIEW,2021-11-25 12:25:09.478000,2021-11-25 12:55:03.184000,1793.706,64,1095,5,99,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f80bdf2ab78b559ad8e6e,5ac4c721e1099600016a823b,AWAITING REVIEW,2021-11-25 12:25:50.740000,2021-11-25 13:14:11.184000,2900.444,50,901,0,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
619f80cf06479217f41ed267,61074d738b7ddc86e10167ad,AWAITING REVIEW,2021-11-25 12:26:53.220000,2021-11-25 12:46:14.510000,1161.29,62,326,1,100,,E11857CB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",White,English,United States,Female,No
619f80e5f4eecd7d3ff5f4d2,5909955b9e26f200016e1247,AWAITING REVIEW,2021-11-25 12:26:16.850000,2021-11-25 13:20:51.289000,3274.439,60,821,3,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Female,DATA EXPIRED
619f811ddeea1fd55cf2bf3e,5a5e2bbfacc75b00017a8d93,AWAITING REVIEW,2021-11-25 12:27:19.810000,2021-11-25 12:51:17.142000,1437.332,64,1576,14,98,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,DATA EXPIRED
619f81f327b04a5b97243399,614e535e3d3ffbe1dc7f0de7,RETURNED,2021-11-25 12:30:43.283000,,337737.637483,49,265,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f8220222a2716a6c263ed,5f77b243c99f31316e4cae58,AWAITING REVIEW,2021-11-25 12:31:44.529000,2021-11-25 13:32:30.714000,3646.185,55,349,4,98,,E11857CB,Nigeria,United States,Other,Black,English,Nigeria,Male,No
619f8229756c33d6280f6740,5c92870723bd7e001870138e,RETURNED,2021-11-25 12:31:40.246000,,337680.722086,77,1641,7,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
619f82339bf45ff16d7ba661,5e04b9be7adf4bf23f066a2a,AWAITING REVIEW,2021-11-25 12:31:47.673000,2021-11-25 13:01:35.129000,1787.456,51,751,1,100,,E11857CB,United States,United States,DATA EXPIRED,White,English,United States,Male,No
619f8233ba7248c3485338ea,60cea844a7fff29a2a57f97e,AWAITING REVIEW,2021-11-25 12:31:53.529000,2021-11-25 13:04:19.609000,1946.08,48,350,0,100,,E11857CB,United States,United States,Full-Time,White,English,United States,Male,No
